aapl	320193
msft	789019
amzn	1018724
goog	1652044
meta	1326801
tcehy	1293451
baba	1577552
brk-a	1067983
tsla	1318605
v	1403161
tsm	1046179
wmt	104169
jnj	200406
jpm	19617
pg	80424
ma	1141391
nvda	1045810
spy	884394
unh	731766
hd	354950
lvmuy	824046
idcby	1445468
dis	1744489
vz	732712
crm	1108524
bac	70858
ko	21344
cmcsa	1166691
adbe	796343
pypl	1633917
nflx	1065280
nke	320187
mrk	310158
t	732717
pfe	78003
orcl	1341439
pep	77476
nvs	1114448
abt	1800
tm	1094517
cichy	1445474
intc	50863
tmo	97745
asml	937966
abbv	1551152
csco	858877
orcl	1341439
cihky	1495688
cost	909832
acgby	1501437
qcom	804328
cvx	93410
pdd	1737806
dhr	313616
tmus	1283699
mcd	63908
xom	34088
avgo	1730168
nvo	353278
ul	217410
acn	1467373
lfc	1268896
un	110390
mdt	1613103
nee	753308
txn	97476
ups	1090727
hon	773840
azn	901832
sap	1000184
bmy	14272
unp	100885
aagiy	1511634
lly	59478
bhp	811809
jd	1549802
lin	1707925
bachy	1378999
amgn	318154
chtr	1091667
bud	1668717
sny	1121404
rds-a	1306965
chl	1117795
pm	1413329
zm	1585521
sftby	1065521
shop	1594805
rtntf	887028
qqq	1067839
sbux	829224
low	60667
ry	1000275
ba	12927
ptr	1108329
sne	313838
bbl	1171264
c	831001
wfc	72971
rtx	101829
tot	879764
ms	895421
amt	1053507
lmt	936468
hesay	1436949
hsbc	1089113
ibm	51143
hdb	1144967
amd	2488
blk	1364742
now	1373715
mmm	66740
intu	896878
td	947263
cat	18230
deo	835403
gsk	1131399
axp	4962
fis	1136893
chdry	1450488
ppruy	1445465
schw	316709
syk	310764
el	1001250
uber	1543151
cvs	64803
sq	1512673
isrg	1035267
bti	1303523
tgt	27419
ge	40545
se	1703399
eadsy	1378580
mdlz	1103982
bkng	1075531
spgi	64040
frcoy	1446595
de	315189
zts	1555280
rio	863064
sbgsy	923734
aiquy	1161167
antm	1156039
cni	16868
gs	886982
gild	882095
cta-pa	30554
fisv	798354
adp	8670
mo	764180
dnngy	1679771
ci	1739940
pld	1045609
tjx	109198
fdx	1048911
snow	1640147
cl	21665
cci	1051470
chgcy	1453934
snp	1123658
amat	6951
csx	277948
dmlry	1067318
mu	723125
kddiy	1106215
meli	1099590
beke	1809587
bdx	10795
duk	1326160
nio	1736541
dkily	1446519
cb	896159
shw	89800
bp	313807
itw	49826
vale	917851
usb	36104
eqix	1101239
d	715957
byddy	1445162
so	92122
rbgly	1420798
njdcy	1158967
tfc	92230
snap	1564408
lrcx	707549
infy	1067491
vmw	1124610
bam	1001085
nsc	702165
gm	1467858
hkxcy	1445476
safry	1364012
bnpqy	310732
ecl	31462
shecy	1442651
apd	2969
cme	1156375
ntes	1110646
esloy	1085922
pstvy	1689565
enb	895728
atvi	718877
pbr	1119639
bns	9631
mmc	62709
vcisy	1065198
mufg	67088
gpn	1123360
ice	1571949
adsk	769397
vrtx	875320
abb	1091587
pgr	80661
regn	872589
wday	1327811
pnc	713676
tak	1395064
olcly	1545460
hum	49071
ew	1099800
race	1648416
dg	29534
wbk	719245
noc	1133421
ubs	1610520
mco	1059556
vnja	1532383
dell	1571996
hca	860730
ceo	1095595
wm	823768
itub	1132597
csuay	1445470
mraay	1450468
adi	6281
